C001;C002;C003;C004;C005;C006;C007;C008;C009;C010;C011;C012;C013;C014;C015;C016;C017;C018;C019;C020;C021;C022;C023;C024;C025;C026;C027;C028;C029;C030;C031;C032;C033;C034;C035;C036;C037;C038;C039;C040;C041;C042;C043;C044;C045;C046;C047;C048;C049;C050;C051;C052;C053;C054;C055;C056;C057;C058;C059;C060;C061;C062;C063;C064;C065;C066;C067;C068;C069;C070;C071;C072;C073;C074;C075;C076;C077;C078;C079;C080;C081;C116;C082;C083;C084;C085;C086;C087;C088;C089;C090;C091;C092;C093;C094;C095;C096;C097;C098;C099;C100;C101;C102;C103;C104;C105;C106;C107;C108;C109;C110;C111;C112;C113;C114;C115;
W119;Arthropoda;Collembola;Poduromorpha;Neanuridae;Pseudachorutinae;Anurida;Anurida maritima;;1;2;2;0;1;192, 193, 194;2;2;0;0;0;0;195;1;2;0;0;0;0;196;NF;NF;NF;NF;NF;NF;0;0;2;1;0;195;2;1;193;0;3;0;0;0;0;196;2;0;1;0;1;0;1;0;0;196;0;0;3;0;0;0;196;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;2;1;2;0;1;196;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W120;Arthropoda;Arachnida;Pseudoscorpiones;Cheliferidae;Cheliferinae;Dactylochelifer;Dactylochelifer latreillii;16,19,21;2;1;0;2;0;189;2;1;0;0;0;0;189;0;3;0;0;0;0;190;NF;NF;NF;NF;NF;NF;2;0;1;0;0;191;1;2;190;0;0;0;0;3;0;189;2;1;0;0;0;0;0;0;0;189;0;0;0;2;0;2;192;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;1;2;0;0;2;189, 191;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W121;Arthropoda;Insecta;Psocodea;;;;;;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W122;Mollusca;Gastropoda;Stylommatophora;Geomitridae;Geomitrinae;Xeroplexa;Xeroplexa intersecta;;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W123;Mollusca;Gastropoda;Stylommatophora;Helicidae;Helicinae;Cepaea;Cepaea nemoralis;;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W124;Arthropoda;Insecta;Thysanoptera;Phlaeothripidae;;;;21;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W125;Arthropoda;Insecta;Thysanoptera;Thripidae;;;;17,21;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
